,address,city,zip,State
2697,1515 QUEEN ANNE AVE N,seattle,98109.0,WA
2707,1433 4TH AVE,seattle,98101.0,WA
2712,550 12TH AVE,seattle,98122.0,WA
2716,621 BROADWAY AVE E ,seattle,98102.0,WA
2727,2332 1ST AVE ,seattle,98121.0,WA
2730,1425 31ST AVE S ,seattle,98144.0,WA
2741,9413 16TH AVE SW,seattle,98106.0,WA
2754,8801 ROOSEVELT WAY NE,seattle,98115.0,WA
2766,1102 N 34TH ST ,seattle,98103.0,WA
2767,3228 1ST AVE S ,seattle,98134.0,WA
2779,4869 RAINIER AVE S ,seattle,98118.0,WA
2787,1660 HARBOR AVE SW,seattle,98126.0,WA
2790,3456 15TH AVE W ,seattle,98119.0,WA
2802,1240 S JACKSON ST,seattle,98144.0,WA
2814,1533 PIKE PL,seattle,98101.0,WA
2822,3418 W MCGRAW ST,seattle,98199.0,WA
2834,5401 25TH AVE NE,seattle,98105.0,WA
2848,1508 MELROSE AVE,seattle,98122.0,WA
2851,205 1ST AVE S ,seattle,98104.0,WA
2869,622 BROADWAY E ,seattle,98102.0,WA
2875,606 5TH AVE S,seattle,98104.0,WA
2888,600 E PINE ST ,seattle,98122.0,WA
2890,4752 UNIVERSITY WAY NE ,seattle,98105.0,WA
2901,406 5TH AVE S,seattle,98104.0,WA
2909,508 S KING ST ,seattle,98104.0,WA
2919,1118 E PIKE ST,seattle,98122.0,WA
2926,1536 PIKE PL ,seattle,98101.0,WA
2931,615 3RD AVE ,seattle,98104.0,WA
2945,8410 5TH AVE ,seattle,98115.0,WA
2958,2720 3RD AVE #5,seattle,98121.0,WA
2961,4857 RAINIER AVE S ,seattle,98118.0,WA
2963,4449 CALIFORNIA AVE SW ,seattle,98116.0,WA
2974,720 OLIVE WAY ,seattle,98101.0,WA
2985,422 YALE AVE N ,seattle,98109.0,WA
2998,1501 4TH AVE ,seattle,98101.0,WA
3010,110 12TH AVE,seattle,98122.0,WA
3023,555 NORTHGATE MALL SPC 413,seattle,98125.0,WA
3035,450 NE 100TH ST,seattle,98125.0,WA
3041,120 BLANCHARD ST ,seattle,98121.0,WA
3049,516 MAYNARD AVE S ,seattle,98104.0,WA
3062,553 1ST AVE S ,seattle,98104.0,WA
3070,8537 15TH AVE NW,seattle,98117.0,WA
3072,1113 6TH AVE,seattle,98101.0,WA
3084,5502 25TH AVE NE ,seattle,98105.0,WA
3098,1400 1ST AVE ,seattle,98101.0,WA
3102,310 NE 72ND ST ,seattle,98115.0,WA
3108,473 N 36TH ST,seattle,98103.0,WA
3119,418 8TH AVE S,seattle,98104.0,WA
3129,5327 DENVER AVE S,seattle,98108.0,WA
3135,4710 42ND AVE SW ,seattle,98116.0,WA
3148,700 5TH AVE,seattle,98104.0,WA
3164,1629 EASTLAKE AVE E,seattle,98102.0,WA
3170,13055 LAKE CITY WAY NE ,seattle,98125.0,WA
3176,214 1ST AVE S ,seattle,98104.0,WA
3188,4548 CALIFORNIA AVE SW ,seattle,98116.0,WA
3201,4129 UNIVERSITY WAY NE ,seattle,98105.0,WA
3204,3311 W MCGRAW ST ,seattle,98199.0,WA
3217,2253 N 56TH ST ,seattle,98103.0,WA
3220,1616 EASTLAKE AVE E ,seattle,98102.0,WA
3233,4336 ROOSEVELT WAY NE #D/E,seattle,98105.0,WA
3236,1517 SW 104TH ST ,seattle,98146.0,WA
3249,6421 15TH AVE NW,seattle,98107.0,WA
3259,6017 AIRPORT WAY S ,seattle,98108.0,WA
3272,2005 NW MARKET ST ,seattle,98107.0,WA
3288,304 6TH AVE S,seattle,98104.0,WA
