address,city,zip,tract
425 CEDAR ST,seattle,98121,72
401 NE NORTHGATE WAY,seattle,98125,12
1801 N 34TH ST,seattle,98103,54
7500 25TH AVE NE,seattle,98115,25
7311 GREENWOOD AVE N,seattle,98103,29
6000 PHINNEY AVE N,seattle,98103,35
4542 CALIFORNIA AVE SW,seattle,98116,105
207 1ST AVE S,seattle,98104,92
2809 THORNDYKE AVE W #A,seattle,98199,58.02
615 W MCGRAW ST,seattle,98119,69
2865 EASTLAKE AVE E,seattle,98102,61
1001 FAIRVIEW AVE N #1800,seattle,98109,66
1404 E PINE ST,seattle,98122,75
513 N 36TH ST,seattle,98103,49
2445 4TH AVE S,seattle,98134,93
2101 4TH AVE #140,seattle,98121,72
2650 NE UNIVERSITY VILLAGE ST,seattle,98105,41
4139 UNIVERSITY WAY NE,seattle,98105,53.01
8917 ROOSEVELT WAY NE,seattle,98115,19
4725 CALIFORNIA AVE SW,seattle,98116,105
4142 UNIVERSITY WAY NE,seattle,98105,53.01
2322 1ST AVE,seattle,98121,80.01
9447 RAINIER AVE S,seattle,98118,118
2201 ALASKAN WAY,seattle,98121,80.01
5101 25th AVE NE #2-3,seattle,98105,43.02
518 6TH AVE S,seattle,98104,91
1319 N 49TH ST,seattle,98103,50
1101 E PIKE ST,seattle,98122,83
2300 NE 65TH ST,seattle,98115,25
5407 20TH AVE NW,seattle,98107,47
1531 14TH AVE,seattle,98122,75
517 S WELLER ST,seattle,98104,91
1613 W DRAVUS ST,seattle,98119,58.02
2207 NE 65TH ST,seattle,98115,43.01
10 BOSTON ST,seattle,98109,68
4343 UNIVERSITY WAY NE,seattle,98105,53.01
1000 E PIKE ST,seattle,98122,75
327 NE Thornton PL,seattle,98125,19
5327 BALLARD AVE NW,seattle,98107,47
9019 AURORA AVE N,seattle,98103,18
2334 2ND AVE,seattle,98121,80.01
1101 ALASKAN WAY,seattle,98101,81
542 1ST AVE S,seattle,98104,93
7821 AURORA AVE N,seattle,98103,28
3509 SW HENDERSON ST,seattle,98126,115
2137 N NORTHGATE WAY,seattle,98133,12
1723 NW MARKET ST,seattle,98107,47
4435 CALIFORNIA AVE SW,seattle,98116,98
668 S WELLER ST,seattle,98104,91
672 S KING ST,seattle,98104,91
9622 16TH AVE SW,seattle,98106,265
2516 ALKI AVE SW,seattle,98116,97.01
8819 14TH AVE S,seattle,98108,112
4546 CALIFORNIA AVE SW,seattle,98116,105
5105 LEARY AVE NW,seattle,98107,47
1920 PIKE PL,seattle,98101,80.02
1467 E REPUBLICAN ST,seattle,98112,75
11001 35TH AVE NE,seattle,98125,10
2823 SW ROXBURY ST,seattle,98126,266
3058 NW 54TH ST,seattle,98107,32
6324 6TH AVE S,seattle,98108,109
310 TERRY AVE N,seattle,98109,73
4215 GILMAN AVE W,seattle,98199,58.01
9219 35TH AVE NE,seattle,98115,21
17801 INTERNATIONAL BL,sea tac,98158,284.02
8904 AURORA AVE N,seattle,98103,18
610 NW 65TH ST,seattle,98117,34
1422 1ST AVE,seattle,98101,81
102 LAKESIDE AVE S,seattle,98122,89
316 15TH AVE E,seattle,98112,76
1827 15TH AVE W,seattle,98119,58.02
3500 SW AVALON WAY,seattle,98126,98
8917 LAKE CITY WAY NE STE #345,seattle,98115,20
1930 PIKE PL,seattle,98101,80.02
600 PINE ST,seattle,98101,82
4727 CALIFORNIA AVE SW,seattle,98116,105
1554 E OLIVE WAY,seattle,98102,74.02
900 RAINIER AVE S,seattle,98144,94
9629 16TH AVE SW,seattle,98106,266
2123 E UNION ST,seattle,98122,79
2510 1ST AVE,seattle,98121,80.01
507 NE Northgate WAY,seattle,98125,12
823 3RD AVE,seattle,98104,81
823 3RD AVE #100,seattle,98104,81
6515 CALIFORNIA AVE SW,seattle,98136,106
312 N 67TH ST,seattle,98103,35
11728 AURORA AVE N,seattle,98133,6
1503 1ST AVE,seattle,98101,81
1023 ALASKAN WAY,seattle,98104,81
801 SENECA ST,seattle,98101,82
5439 BALLARD AVE NW,seattle,98107,47
3512 FREMONT PL N,seattle,98103,49
3829 DELRIDGE WAY SW,seattle,98106,99
19021 INTERNATIONAL BL,sea tac,98188,288.01
3055 21ST AVE W,seattle,98199,58.02
